epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,873.753,1.42586,3.0232,1.64827,0.36964,0.34128,0.31393,0.18158,1.59927,4.18194,1.8212,0.00332989,0.00332989,0.00332989
2,1910.5,1.42277,2.21463,1.61373,0.44879,0.30357,0.28942,0.15158,1.74469,3.56265,1.96476,0.00659726,0.00659726,0.00659726
3,2805.73,1.49589,2.10458,1.67174,0.45668,0.32702,0.26872,0.13403,1.81683,3.5569,2.04621,0.00979863,0.00979863,0.00979863
4,3722.62,1.53998,2.01556,1.70361,0.36622,0.36376,0.30256,0.16464,1.73809,3.73992,1.9618,0.009703,0.009703,0.009703
5,5363.34,1.47609,1.84833,1.65195,0.45274,0.37938,0.37003,0.21621,1.59935,2.79566,1.86702,0.009604,0.009604,0.009604
6,7003.44,1.43023,1.74803,1.61855,0.43246,0.42651,0.40551,0.23627,1.57195,2.46799,1.83631,0.009505,0.009505,0.009505
7,7902.8,1.39812,1.68897,1.59876,0.52376,0.39339,0.41322,0.24167,1.53994,2.34783,1.75029,0.009406,0.009406,0.009406
8,8942.9,1.37208,1.62902,1.57277,0.49081,0.4461,0.45078,0.27637,1.50834,2.2234,1.77024,0.009307,0.009307,0.009307
9,9918.08,1.34467,1.58154,1.5507,0.48637,0.48266,0.47369,0.2849,1.46816,2.17905,1.6774,0.009208,0.009208,0.009208
10,10871.3,1.32198,1.53118,1.52802,0.53328,0.44466,0.45914,0.27813,1.51172,2.15122,1.70267,0.009109,0.009109,0.009109
11,11766.5,1.31762,1.51785,1.53006,0.52529,0.45387,0.46938,0.28954,1.45291,2.34371,1.64852,0.00901,0.00901,0.00901
12,12701.9,1.29299,1.47929,1.51186,0.51199,0.47263,0.47255,0.29233,1.42469,2.05899,1.64079,0.008911,0.008911,0.008911
13,13595,1.2765,1.44692,1.49859,0.53318,0.49648,0.50393,0.30782,1.41264,2.11162,1.6285,0.008812,0.008812,0.008812
14,14486.7,1.26892,1.42567,1.48706,0.56347,0.46426,0.49528,0.31061,1.43405,2.0609,1.64332,0.008713,0.008713,0.008713
